archivo,linea,texto_original,traduccion_sugerida
src/app/pages/client/WelcomePage.tsx,*,Welcome to Cinny,Bienvenido a Dulce Terciopelo
src/app/pages/client/WelcomePage.tsx,*,Yet another matrix client.,Tu espacio de chat.
src/app/pages/client/home/Home.tsx,*,Mark as Read,Marcar como leído
src/app/pages/client/home/Home.tsx,*,Home,Inicio
src/app/pages/client/home/Home.tsx,*,No Rooms,Sin salas
src/app/pages/client/home/Home.tsx,*,You do not have any rooms yet.,Aún no tienes ninguna sala.
src/app/pages/client/home/Home.tsx,*,Create Room,Crear sala
src/app/pages/client/home/Home.tsx,*,Explore Community Rooms,Explorar salas de la comunidad
src/app/pages/client/home/Home.tsx,*,Message Search,Buscar mensajes
src/app/pages/client/home/Home.tsx,*,Rooms,Salas
src/app/pages/client/direct/Direct.tsx,*,Mark as Read,Marcar como leído
src/app/pages/client/direct/Direct.tsx,*,Direct Messages,Mensajes directos
src/app/pages/client/direct/Direct.tsx,*,No Direct Messages,Sin mensajes directos
src/app/pages/client/direct/Direct.tsx,*,You do not have any direct messages yet.,Aún no tienes ningún mensaje directo.
src/app/pages/client/direct/Direct.tsx,*,Direct Message,Mensaje directo
src/app/pages/client/direct/Direct.tsx,*,Create Chat,Crear chat
src/app/pages/client/direct/Direct.tsx,*,Chats,Chats
src/app/pages/client/inbox/Inbox.tsx,*,Invites,Invitaciones
src/app/pages/client/inbox/Inbox.tsx,*,Inbox,Bandeja de entrada
src/app/pages/client/inbox/Inbox.tsx,*,Notifications,Notificaciones
src/app/pages/client/inbox/Invites.tsx,*,Encrypted,Cifrado
src/app/pages/client/inbox/Invites.tsx,*,Direct Message,Mensaje directo
src/app/pages/client/inbox/Invites.tsx,*,Space,Espacio
src/app/pages/client/inbox/Invites.tsx,*,Decline,Rechazar
src/app/pages/client/inbox/Invites.tsx,*,Accept,Aceptar
src/app/pages/client/inbox/Invites.tsx,*,From:,De:
src/app/pages/client/inbox/Invites.tsx,*,Reason:,Motivo:
src/app/pages/client/inbox/Invites.tsx,*,Primary,Principal
src/app/pages/client/inbox/Invites.tsx,*,Public,Pública
src/app/pages/client/inbox/Invites.tsx,*,Spam,Spam
src/app/pages/client/inbox/Invites.tsx,*,No Invites,Sin invitaciones
src/app/pages/client/inbox/Invites.tsx,*,Decline All,Rechazar todas
src/app/pages/client/inbox/Invites.tsx,*,Report All,Reportar todas
src/app/pages/client/inbox/Invites.tsx,*,Block All,Bloquear todas
src/app/pages/client/inbox/Invites.tsx,*,Hide All,Ocultar todas
src/app/pages/client/inbox/Invites.tsx,*,View All,Ver todas
src/app/pages/client/inbox/Invites.tsx,*,No Spam Invites,Sin invitaciones de spam
src/app/pages/client/inbox/Invites.tsx,*,Invites detected as spam appear here.,Las invitaciones detectadas como spam aparecen aquí.
src/app/pages/client/inbox/Invites.tsx,*,Filter,Filtrar
src/app/pages/client/inbox/Invites.tsx,*,Invites,Invitaciones
src/app/pages/client/inbox/Notifications.tsx,*,Mark as Read,Marcar como leído
src/app/pages/client/inbox/Notifications.tsx,*,Notification Messages,Mensajes de notificación
src/app/pages/client/inbox/Notifications.tsx,*,Filter,Filtrar
src/app/pages/client/inbox/Notifications.tsx,*,All Notifications,Todas las notificaciones
src/app/pages/client/inbox/Notifications.tsx,*,Highlighted,Destacadas
src/app/pages/client/inbox/Notifications.tsx,*,Scroll to Top,Ir al inicio
src/app/pages/client/inbox/Notifications.tsx,*,No Notifications,Sin notificaciones
src/app/pages/client/inbox/Notifications.tsx,*,You don't have any new notifications to display yet.,Aún no tienes notificaciones nuevas.
src/app/pages/client/explore/Explore.tsx,*,Add Server,Agregar servidor
src/app/pages/client/explore/Explore.tsx,*,Add server name to explore public communities.,Ingresa el nombre del servidor para explorar comunidades públicas.
src/app/pages/client/explore/Explore.tsx,*,Server Name,Nombre del servidor
src/app/pages/client/explore/Explore.tsx,*,Failed to load public rooms. Please try again.,No se pudieron cargar las salas públicas. Inténtalo de nuevo.
src/app/pages/client/explore/Explore.tsx,*,View,Ver
src/app/pages/client/explore/Explore.tsx,*,Explore Community,Explorar comunidad
src/app/pages/client/explore/Explore.tsx,*,Featured,Destacadas
src/app/pages/client/explore/Explore.tsx,*,Servers,Servidores
src/app/features/room/RoomViewHeader.tsx,*,Mark as Read,Marcar como leído
src/app/features/room/RoomViewHeader.tsx,*,Notifications,Notificaciones
src/app/features/room/RoomViewHeader.tsx,*,Copy Link,Copiar enlace
src/app/features/room/RoomViewHeader.tsx,*,Room Settings,Configuración de sala
src/app/features/room/RoomViewHeader.tsx,*,Jump to Time,Ir a fecha/hora
src/app/features/room/RoomViewHeader.tsx,*,Start Call,Iniciar llamada
src/app/features/room/RoomViewHeader.tsx,*,Voice,Voz
src/app/features/room/RoomViewHeader.tsx,*,Video,Video
src/app/features/room/RoomViewHeader.tsx,*,Search,Buscar
src/app/features/room/RoomViewHeader.tsx,*,Pinned Messages,Mensajes fijados
src/app/features/room/RoomViewHeader.tsx,*,Members,Miembros
src/app/features/room/RoomViewHeader.tsx,*,Hide Members,Ocultar miembros
src/app/features/room/RoomViewHeader.tsx,*,Show Members,Mostrar miembros
src/app/features/room/RoomViewHeader.tsx,*,More Options,Más opciones
src/app/features/room/RoomViewHeader.tsx,*,Already in another call — End the current call to join!,Ya estás en otra llamada. Finaliza la llamada actual para unirte.
src/app/features/room/RoomInput.tsx,*,Drop Files in "${room?.name || 'Room'}",Suelta archivos en "${room?.name || 'la sala'}"
src/app/features/room/RoomInput.tsx,*,Drag and drop files here or click for selection dialog,Arrastra archivos aquí o haz clic para seleccionarlos
src/app/features/room/RoomInput.tsx,*,Send a message...,Escribe un mensaje...
src/app/features/room/RoomInput.tsx,*,Stop recording,Detener grabación
src/app/features/room/RoomInput.tsx,*,Record voice message,Grabar mensaje de voz
src/app/features/room/RoomInput.tsx,*,Microphone access denied,Acceso al micrófono denegado
src/app/features/room/MembersDrawer.tsx,*,${millify(count)} Members,${millify(count)} miembros
src/app/features/room/MembersDrawer.tsx,*,Close,Cerrar
src/app/features/room/MembersDrawer.tsx,*,Type name...,Escribe un nombre...
src/app/features/room/MembersDrawer.tsx,*,${result.items.length || 'No'} Result(s),${result.items.length || 'Sin'} resultado(s)
src/app/features/room/MembersDrawer.tsx,*,Scroll to Top,Ir al inicio
src/app/features/room/MembersDrawer.tsx,*,No "${membershipFilter.name}" Members,Sin miembros de tipo "${membershipFilter.name}"
src/app/features/room/message/Message.tsx,*,View Reactions,Ver reacciones
src/app/features/room/message/Message.tsx,*,Read Receipts,Confirmaciones de lectura
src/app/features/room/message/Message.tsx,*,View Source,Ver fuente
src/app/features/room/message/Message.tsx,*,Copy Link,Copiar enlace
src/app/features/room/message/Message.tsx,*,Unpin Message,Desfijar mensaje
